"Asset ID","Owner","Platform","Run","Sample","Fastq File","Link"
"494554767","TONY-PAPENFUSS","NextSeq","210408_NB501056_0620_AH53CHBGXJ","SFRC1239-B1","SFRC1239-B1_S6_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/c9dd4a2b11e5fe31b8fb13a150fa8e45/O2Y7jr6yHAxoQ3FTAIYNXSj79g5auhorYYFxlU8GjYM6KvxP5gAD2tsQYmD8nAHChJGXsIJhpolxVuRTGoEPNEgYK4UUTldxs1shgUgD3xD5EEiEcOTQTt3XyI1128186441/494554767/SFRC1239-B1_S6_R2_001.fastq.gz"
"494554769","TONY-PAPENFUSS","NextSeq","210408_NB501056_0620_AH53CHBGXJ","SFRC1239-B1","SFRC1239-B1_S6_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/691bededac5e8a5fa7fab15736708224/O2Y7jr6yHAxoQ3FTAIYNXSj79g5auhorYYFxlU8GjYM6KvxP5gAD2tsQYmD8nAHChJGXsIJhpolxVuRTGoEPNEgYK4UUTldxs1shgUgD3xD5EEiEcOTQTt3XyI1128186441/494554769/SFRC1239-B1_S6_R1_001.fastq.gz"
"494554775","TONY-PAPENFUSS","NextSeq","210408_NB501056_0620_AH53CHBGXJ","SFRC01095-1K","SFRC01095-1K_S9_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/c21aa0c4e143d459b5c5c627dea584a4/O2Y7jr6yHAxoQ3FTAIYNXSj79g5auhorYYFxlU8GjYM6KvxP5gAD2tsQYmD8nAHChJGXsIJhpolxVuRTGoEPNEgYK4UUTldxs1shgUgD3xD5EEiEcOTQTt3XyI1128186441/494554775/SFRC01095-1K_S9_R2_001.fastq.gz"
"494554780","TONY-PAPENFUSS","NextSeq","210408_NB501056_0620_AH53CHBGXJ","SFRC01095-1K","SFRC01095-1K_S9_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/b54a9be346d196189044c5f28a565b2d/O2Y7jr6yHAxoQ3FTAIYNXSj79g5auhorYYFxlU8GjYM6KvxP5gAD2tsQYmD8nAHChJGXsIJhpolxVuRTGoEPNEgYK4UUTldxs1shgUgD3xD5EEiEcOTQTt3XyI1128186441/494554780/SFRC01095-1K_S9_R1_001.fastq.gz"
"494554784","TONY-PAPENFUSS","NextSeq","210408_NB501056_0620_AH53CHBGXJ","SFRC01064-1B","SFRC01064-1B_S8_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/1d9cb19eb675b8e42ff7c279556986ca/O2Y7jr6yHAxoQ3FTAIYNXSj79g5auhorYYFxlU8GjYM6KvxP5gAD2tsQYmD8nAHChJGXsIJhpolxVuRTGoEPNEgYK4UUTldxs1shgUgD3xD5EEiEcOTQTt3XyI1128186441/494554784/SFRC01064-1B_S8_R2_001.fastq.gz"
"494554785","TONY-PAPENFUSS","NextSeq","210408_NB501056_0620_AH53CHBGXJ","SFRC01064-1B","SFRC01064-1B_S8_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/0794a9f92f9c09c20f3864315e464a96/O2Y7jr6yHAxoQ3FTAIYNXSj79g5auhorYYFxlU8GjYM6KvxP5gAD2tsQYmD8nAHChJGXsIJhpolxVuRTGoEPNEgYK4UUTldxs1shgUgD3xD5EEiEcOTQTt3XyI1128186441/494554785/SFRC01064-1B_S8_R1_001.fastq.gz"
"494554787","TONY-PAPENFUSS","NextSeq","210408_NB501056_0620_AH53CHBGXJ","SFRC01057-1-4","SFRC01057-1-4_S7_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/d0196f0a6deea6b0ee999a8c84009d54/O2Y7jr6yHAxoQ3FTAIYNXSj79g5auhorYYFxlU8GjYM6KvxP5gAD2tsQYmD8nAHChJGXsIJhpolxVuRTGoEPNEgYK4UUTldxs1shgUgD3xD5EEiEcOTQTt3XyI1128186441/494554787/SFRC01057-1-4_S7_R1_001.fastq.gz"
"494554788","TONY-PAPENFUSS","NextSeq","210408_NB501056_0620_AH53CHBGXJ","SFRC01057-1-4","SFRC01057-1-4_S7_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/65aa834797c186a950851e142ddfed21/O2Y7jr6yHAxoQ3FTAIYNXSj79g5auhorYYFxlU8GjYM6KvxP5gAD2tsQYmD8nAHChJGXsIJhpolxVuRTGoEPNEgYK4UUTldxs1shgUgD3xD5EEiEcOTQTt3XyI1128186441/494554788/SFRC01057-1-4_S7_R2_001.fastq.gz"
