"Asset ID","Owner","Platform","Run","Sample","Fastq File","Link"
"161378600","TONY-PAPENFUSS","NextSeq","200219_NB501056_0457_AHHY2LBGXF","SFRC01197-B1","SFRC01197-B1_S2_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/f3859fc886d1a3c03d7740fc343644fe/9npzbqvx5eInyfb7vps6HfayrCHIBGXd162yA4wRU1CkxuZEuEmyQNK6SN2kU4WmGwG9mxCueo2QBATrVjiiXNA8uZxRUAFF43J3jeUMcRuOLYuBa1128148938/161378600/SFRC01197-B1_S2_R2_001.fastq.gz"
"161378601","TONY-PAPENFUSS","NextSeq","200219_NB501056_0457_AHHY2LBGXF","SFRC01197-B1","SFRC01197-B1_S2_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/58dd007e9aaf2892e32c1f7e4edff8e5/9npzbqvx5eInyfb7vps6HfayrCHIBGXd162yA4wRU1CkxuZEuEmyQNK6SN2kU4WmGwG9mxCueo2QBATrVjiiXNA8uZxRUAFF43J3jeUMcRuOLYuBa1128148938/161378601/SFRC01197-B1_S2_R1_001.fastq.gz"
"161378604","TONY-PAPENFUSS","NextSeq","200219_NB501056_0457_AHHY2LBGXF","SFRC01197-1H","SFRC01197-1H_S1_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/68690b2e7e609cbcb03bad675db8d27f/9npzbqvx5eInyfb7vps6HfayrCHIBGXd162yA4wRU1CkxuZEuEmyQNK6SN2kU4WmGwG9mxCueo2QBATrVjiiXNA8uZxRUAFF43J3jeUMcRuOLYuBa1128148938/161378604/SFRC01197-1H_S1_R2_001.fastq.gz"
"161385658","TONY-PAPENFUSS","NextSeq","200219_NB501056_0457_AHHY2LBGXF","SFRC01197-1H","SFRC01197-1H_S1_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/5f1fe466d960bbb1b6dee679bd80b3f1/9npzbqvx5eInyfb7vps6HfayrCHIBGXd162yA4wRU1CkxuZEuEmyQNK6SN2kU4WmGwG9mxCueo2QBATrVjiiXNA8uZxRUAFF43J3jeUMcRuOLYuBa1128148938/161385658/SFRC01197-1H_S1_R1_001.fastq.gz"
