"Asset ID","Owner","Platform","Run","Sample","Fastq File","Link"
"271565587","TONY-PAPENFUSS","NextSeq","200515_NB501056_0491_AHNJV7BGXF","SFRC01180-B1","SFRC01180-B1_S4_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/13a0b5c38bb591302fac8c8a8fefcc53/PBoRZGiQCTFNrmcPmRXythErDxDFeVjphvCyjNz4S1B9luseUuP94DBgQP58kVjXTeRTczA4lARMnEQzPN8dJoZCtQjivkpFqG3Bi51128154415/271565587/SFRC01180-B1_S4_R2_001.fastq.gz"
"271565590","TONY-PAPENFUSS","NextSeq","200515_NB501056_0491_AHNJV7BGXF","SFRC01256-B1","SFRC01256-B1_S2_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/2f23b088bd88e2b76b8fccc1febc9a3d/PBoRZGiQCTFNrmcPmRXythErDxDFeVjphvCyjNz4S1B9luseUuP94DBgQP58kVjXTeRTczA4lARMnEQzPN8dJoZCtQjivkpFqG3Bi51128154415/271565590/SFRC01256-B1_S2_R1_001.fastq.gz"
"271565598","TONY-PAPENFUSS","NextSeq","200515_NB501056_0491_AHNJV7BGXF","SFRC01256-B1","SFRC01256-B1_S2_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/45a4871586305bc63a025070917da0c4/PBoRZGiQCTFNrmcPmRXythErDxDFeVjphvCyjNz4S1B9luseUuP94DBgQP58kVjXTeRTczA4lARMnEQzPN8dJoZCtQjivkpFqG3Bi51128154415/271565598/SFRC01256-B1_S2_R2_001.fastq.gz"
"271565608","TONY-PAPENFUSS","NextSeq","200515_NB501056_0491_AHNJV7BGXF","SFRC01180-B1","SFRC01180-B1_S4_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/fa52d1ac3e54b41b15cb079366383a41/PBoRZGiQCTFNrmcPmRXythErDxDFeVjphvCyjNz4S1B9luseUuP94DBgQP58kVjXTeRTczA4lARMnEQzPN8dJoZCtQjivkpFqG3Bi51128154415/271565608/SFRC01180-B1_S4_R1_001.fastq.gz"
"271565616","TONY-PAPENFUSS","NextSeq","200515_NB501056_0491_AHNJV7BGXF","SFRC01180-A7","SFRC01180-A7_S3_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/33c4ca1b98138eeac427c288b7abbbe1/PBoRZGiQCTFNrmcPmRXythErDxDFeVjphvCyjNz4S1B9luseUuP94DBgQP58kVjXTeRTczA4lARMnEQzPN8dJoZCtQjivkpFqG3Bi51128154415/271565616/SFRC01180-A7_S3_R1_001.fastq.gz"
"271565619","TONY-PAPENFUSS","NextSeq","200515_NB501056_0491_AHNJV7BGXF","SFRC01180-A7","SFRC01180-A7_S3_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/278d9463d1319f0cdc5df9d779f50163/PBoRZGiQCTFNrmcPmRXythErDxDFeVjphvCyjNz4S1B9luseUuP94DBgQP58kVjXTeRTczA4lARMnEQzPN8dJoZCtQjivkpFqG3Bi51128154415/271565619/SFRC01180-A7_S3_R2_001.fastq.gz"
"271565638","TONY-PAPENFUSS","NextSeq","200515_NB501056_0491_AHNJV7BGXF","SFRC01256-S2","SFRC01256-S2_S1_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/f71f61f73b261f2967df3299296e7764/PBoRZGiQCTFNrmcPmRXythErDxDFeVjphvCyjNz4S1B9luseUuP94DBgQP58kVjXTeRTczA4lARMnEQzPN8dJoZCtQjivkpFqG3Bi51128154415/271565638/SFRC01256-S2_S1_R1_001.fastq.gz"
"271565641","TONY-PAPENFUSS","NextSeq","200515_NB501056_0491_AHNJV7BGXF","SFRC01256-S2","SFRC01256-S2_S1_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/a05f392e71b308dd04e4a03004ae11bf/PBoRZGiQCTFNrmcPmRXythErDxDFeVjphvCyjNz4S1B9luseUuP94DBgQP58kVjXTeRTczA4lARMnEQzPN8dJoZCtQjivkpFqG3Bi51128154415/271565641/SFRC01256-S2_S1_R2_001.fastq.gz"
