"Asset ID","Owner","Platform","Run","Sample","Fastq File","Link"
"265882997","TONY-PAPENFUSS","NextSeq","200420_NB501056_0485_AHJJMWBGXF","SFRC01272-Germline-DNA","SFRC01272-Germline-DNA_S4_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/1e61c4c293610f83dffeb260d59304d7/lAwdYOdnH4O7bsJ1N5qVd42pEpXQ5aS222AKxV9Qtfk3zQW5v4yjkWjn93AEHTDfqvpWELCQvsxpCvVtSZMubUYvQelq4UdBE3gfIbnGxD1OVytdf1128154319/265882997/SFRC01272-Germline-DNA_S4_R1_001.fastq.gz"
"265882999","TONY-PAPENFUSS","NextSeq","200420_NB501056_0485_AHJJMWBGXF","SFRC01272-Tumour-DNA","SFRC01272-Tumour-DNA_S3_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/3ff6f08edbc2def99425d2d53759391a/lAwdYOdnH4O7bsJ1N5qVd42pEpXQ5aS222AKxV9Qtfk3zQW5v4yjkWjn93AEHTDfqvpWELCQvsxpCvVtSZMubUYvQelq4UdBE3gfIbnGxD1OVytdf1128154319/265882999/SFRC01272-Tumour-DNA_S3_R2_001.fastq.gz"
"265884357","TONY-PAPENFUSS","NextSeq","200420_NB501056_0485_AHJJMWBGXF","SFRC01272-Germline-DNA","SFRC01272-Germline-DNA_S4_R2_001.fastq.gz","https://mediaflux.petermac.org.au/archive/2e0bfcf14477e532950467c4ea7bcf5e/lAwdYOdnH4O7bsJ1N5qVd42pEpXQ5aS222AKxV9Qtfk3zQW5v4yjkWjn93AEHTDfqvpWELCQvsxpCvVtSZMubUYvQelq4UdBE3gfIbnGxD1OVytdf1128154319/265884357/SFRC01272-Germline-DNA_S4_R2_001.fastq.gz"
"265885235","TONY-PAPENFUSS","NextSeq","200420_NB501056_0485_AHJJMWBGXF","SFRC01272-Tumour-DNA","SFRC01272-Tumour-DNA_S3_R1_001.fastq.gz","https://mediaflux.petermac.org.au/archive/b16d6207155e5137f16a37838b036ea6/lAwdYOdnH4O7bsJ1N5qVd42pEpXQ5aS222AKxV9Qtfk3zQW5v4yjkWjn93AEHTDfqvpWELCQvsxpCvVtSZMubUYvQelq4UdBE3gfIbnGxD1OVytdf1128154319/265885235/SFRC01272-Tumour-DNA_S3_R1_001.fastq.gz"
