SBJ00237,MDX190227,L1901038,SFRC01247,SFRC01247-B1
SBJ00237,MDX190227,L1901038_topup,SFRC01247,SFRC01247-B1
SBJ00237,MDX190228,L1901026,SFRC01247,SFRC01247-S1
SBJ00237,MDX190228,L1901039,SFRC01247,SFRC01247-S1
SBJ00237,MDX190228,L1901039_topup,SFRC01247,SFRC01247-S1
SBJ00239,MDX190220,L1901031,SFRC01222,SFRC01222-S1
SBJ00239,MDX190220,L1901031_topup,SFRC01222,SFRC01222-S1
SBJ00239,MDX190221,L1901032,SFRC01222,SFRC01222-B1
SBJ00239,MDX190221,L1901032_topup,SFRC01222,SFRC01222-B1
SBJ00240,MDX190222,L1901033,SFRC01228,SFRC01228-S1
SBJ00240,MDX190222,L1901033_topup,SFRC01228,SFRC01228-S1
SBJ00240,MDX190223,L1901034,SFRC01228,SFRC01228-B1
SBJ00240,MDX190223,L1901034_topup,SFRC01228,SFRC01228-B1
SBJ00268,PRJ200049,L2000061,SFRC01233,SFRC01233-S1
SBJ00268,PRJ200050,L2000062,SFRC01233,SFRC01233-B1
SBJ00284,PRJ200066,L2000102,SFRC01120,SFRC01120-A-E1
SBJ00284,PRJ200067,L2000103,SFRC01120,SFRC01120-B1
SBJ00304,PRJ200056,L2000153,SFRC01260,SFRC01260-B1
SBJ00304,PRJ200202,L2000152,SFRC01260,SFRC01260-S1
SBJ00307,PRJ200211,L2000166,SFRC01172,SFRC01172-B1
SBJ00307,PRJ200212,L2000167,SFRC01172,SFRC01172-S1S3
SBJ00308,PRJ200213,L2000168,SFRC1265,SFRC1265-B1
SBJ00308,PRJ200214,L2000169,SFRC1265,SFRC1265-S1
SBJ00346,PRJ200267,L2000235,SFRC01273,PRJ200267-SFRC01273-B1
SBJ00346,PRJ200268,L2000236,SFRC01273,PRJ200268-SFRC01273-S1
SBJ00349,PRJ200304,L2000264,SFRC01232,SFRC01232-B1
SBJ00349,PRJ200305,L2000265,SFRC01232,SFRC01232-S2
